Name,beta,gamma,n_shots,test_accuracy
dulcet-sweep-307,100,75,10,0.351999992
serene-sweep-771,75,25,10,0.351999986
astral-sweep-651,50,10,10,0.351999986
misunderstood-sweep-267,100,1000,10,0.351999986
polar-sweep-635,25,5000,10,0.34799999
northern-sweep-315,100,5000,10,0.347999988
bumbling-sweep-779,75,50,10,0.343999988
deep-sweep-715,50,5000,10,0.343999988
youthful-sweep-227,10,75,10,0.33599999
unique-sweep-179,10,100,10,0.33599999
distinctive-sweep-747,75,1000,10,0.331999987
rosy-sweep-595,25,10000,10,0.331999987
polished-sweep-675,50,10000,10,0.331999981
denim-sweep-691,50,25,10,0.327999991
deep-sweep-587,25,1000,10,0.327999991
exalted-sweep-219,10,50,10,0.323999995
true-sweep-707,50,75,10,0.323999989
silvery-sweep-659,50,100,10,0.323999989
comfy-sweep-603,25,5,10,0.323999989
misty-sweep-235,10,5000,10,0.323999983
neat-sweep-563,25,0.001,10,0.319999987
fragrant-sweep-187,10,1000,10,0.319999987
different-sweep-611,25,25,10,0.315999991
copper-sweep-195,10,10000,10,0.315999991
rosy-sweep-579,25,100,10,0.311999995
solar-sweep-755,75,10000,10,0.311999992
neat-sweep-667,50,1000,10,0.311999989
graceful-sweep-571,25,10,10,0.311999989
distinctive-sweep-211,10,25,10,0.311999986
neat-sweep-203,10,5,10,0.307999998
mild-sweep-619,25,50,10,0.307999992
distinctive-sweep-627,25,75,10,0.307999986
worthy-sweep-171,10,10,10,0.303999996
wobbly-sweep-163,10,0.001,10,0.295999992
quiet-sweep-11,0.001,10,10,0.25999999
wild-sweep-3,0.001,0.001,10,0.247999987
jumping-sweep-515,5,10000,10,0.235999995
gallant-sweep-499,5,100,10,0.235999995
wise-sweep-547,5,75,10,0.235999994
morning-sweep-555,5,5000,10,0.235999992
devoted-sweep-523,5,5,10,0.235999992
firm-sweep-507,5,1000,10,0.235999992
soft-sweep-483,5,0.001,10,0.23599999
vivid-sweep-539,5,50,10,0.231999992
different-sweep-115,1,10000,10,0.227999994
grateful-sweep-107,1,1000,10,0.227999994
spring-sweep-91,1,10,10,0.227999994
hearty-sweep-51,0.001,25,10,0.227999988
cosmic-sweep-531,5,25,10,0.223999999
silver-sweep-491,5,10,10,0.223999995
whole-sweep-75,0.001,5000,10,0.223999988
comic-sweep-19,0.001,100,10,0.219999993
eager-sweep-27,0.001,1000,10,0.219999992
driven-sweep-59,0.001,50,10,0.215999994
earnest-sweep-35,0.001,10000,10,0.21599999
dainty-sweep-123,1,5,10,0.211999995
ruby-sweep-67,0.001,75,10,0.211999995
rosy-sweep-155,1,5000,10,0.211999993
polar-sweep-43,0.001,5,10,0.211999993
generous-sweep-147,1,75,10,0.207999995
hardy-sweep-99,1,100,10,0.207999994
clear-sweep-131,1,25,10,0.207999992
wise-sweep-83,1,0.001,10,0.187999997
scarlet-sweep-139,1,50,10,0.187999993
frosty-sweep-436,10000,10000,15,0.877333355
kind-sweep-476,10000,5000,15,0.874666691
efficient-sweep-428,10000,1000,15,0.874666691
sweepy-sweep-876,5000,5000,15,0.864000022
cosmic-sweep-868,5000,75,15,0.85600003
devout-sweep-836,5000,10000,15,0.848000026
olive-sweep-828,5000,1000,15,0.842666698
pretty-sweep-460,10000,50,15,0.834666681
good-sweep-820,5000,100,15,0.832000029
spring-sweep-468,10000,75,15,0.818666697
easy-sweep-420,10000,100,15,0.818666685
scarlet-sweep-860,5000,50,15,0.810666692
summer-sweep-452,10000,25,15,0.792000008
peach-sweep-852,5000,25,15,0.778666675
peach-sweep-404,10000,0.001,15,0.738666689
