"Name","State","Notes","User","Tags","Created","Runtime","Sweep","beta","dataset","gamma","load_trained_model","meta_batch_size","meta_lr","mnist_pixels_to_permute_test","mnist_pixels_to_permute_train","n_epochs","n_shots","n_test_epochs","n_ways","per_task_lr","reset_clf_on_meta","seed","test_adapt_steps","train_adapt_steps","train_sample_size","test_accuracy","test_loss"
"chocolate-sweep-822","finished","-","liorf","","2022-05-08T00:41:40.000Z","133","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8306666731834411","0.5938814997673034"
"gallant-sweep-821","finished","-","liorf","","2022-05-08T00:39:25.000Z","130","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8739999771118164","0.556110680103302"
"good-sweep-820","finished","-","liorf","","2022-05-08T00:37:06.000Z","134","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.8320000290870666","0.5627588868141175"
"logical-sweep-819","finished","-","liorf","","2022-05-08T00:34:45.000Z","137","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.8119999766349792","0.5297777533531189"
"fallen-sweep-818","finished","-","liorf","","2022-05-08T00:32:26.000Z","132","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.8239999771118164","0.5540363371372223"
"feasible-sweep-817","finished","-","liorf","","2022-05-08T00:30:05.000Z","132","e4hlnb4l","5000","mnist","100","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5600000083446502","1.0762680053710938"
"radiant-sweep-816","finished","-","liorf","","2022-05-08T00:27:28.000Z","150","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.7816000342369079","0.6608200669288635"
"mild-sweep-815","finished","-","liorf","","2022-05-08T00:25:04.000Z","141","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","40","10","5","0.1","false","1","10","5","10","0.8129999876022339","0.6038287520408631"
"wandering-sweep-814","finished","-","liorf","","2022-05-08T00:22:44.000Z","134","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","30","10","5","0.1","false","1","10","5","10","0.8320000171661377","0.581780207157135"
"sparkling-sweep-813","finished","-","liorf","","2022-05-08T00:20:29.000Z","130","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","20","10","5","0.1","false","1","10","5","10","0.8399999618530274","0.561494517326355"
"fanciful-sweep-812","finished","-","liorf","","2022-05-08T00:18:11.000Z","133","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","15","10","5","0.1","false","1","10","5","10","0.7360000252723694","0.7904076218605042"
"prime-sweep-811","finished","-","liorf","","2022-05-08T00:15:48.000Z","137","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","10","10","5","0.1","false","1","10","5","10","0.7119999885559082","0.7610864222049714"
"hearty-sweep-810","finished","-","liorf","","2022-05-08T00:13:34.000Z","130","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","5","10","5","0.1","false","1","10","5","10","0.6639999985694885","0.9569857835769652"
"fluent-sweep-809","finished","-","liorf","","2022-05-08T00:11:20.000Z","131","e4hlnb4l","5000","mnist","10","true","8","0.01","100","1000","100","2","10","5","0.1","false","1","10","5","10","0.5400000154972077","1.253998911380768"
"happy-sweep-808","finished","-","liorf","","2022-05-08T00:08:48.000Z","149","e4hlnb4l","5000","mnist","0.001","true","8","0.01","100","1000","100","50","10","5","0.1","false","1","10","5","10","0.781600022315979","0.6575890362262726"
